1 input_1.asc: UAV Cruise and satellite targeting Mar 14 2025 13:55:26
  0  0 50
time            mach_c1         lonx_c1         latx_c1         alt_c1          
dvbe_c1         psivgx_c1       thtvgx_c1       SBEG1_c1        SBEG2_c1        
SBEG3_c1        VBEG1_c1        VBEG2_c1        VBEG3_c1        SBII1_c1        
SBII2_c1        SBII3_c1        thrust_c1       mach_t1         lonx_t1         
latx_t1         alt_t1          dvbe_t1         psivgx_t1       thtvgx_t1       
SBEG1_t1        SBEG2_t1        SBEG3_t1        VBEG1_t1        VBEG2_t1        
VBEG3_t1        SBII1_t1        SBII2_t1        SBII3_t1        mach_s1         
lonx_s1         latx_s1         alt_s1          dvbe_s1         psivgx_s1       
thtvgx_s1       SBEG1_s1        SBEG2_s1        SBEG3_s1        VBEG1_s1        
VBEG2_s1        VBEG3_s1        SBII1_s1        SBII2_s1        SBII3_s1        
203.336         89.8892         -0.49945        2.22952         1118.09         
-1.11876        0.393363        203.328         1.77247         5.02788e+06     
1.32237e+06     3.69465e+06     1676.42         0.0294187       15.4006         
35.3004         100.003         9.99972         45.002          0.00385196      
39.2421         39.2446         -0.00347481     7.07062         7.07111         
-0.000672275    5.0124e+06      1.38287e+06     3.68161e+06     26.1345         
10.292          30.2516         500015          7699.92         45.1702         
0.0388022       30173.2         30262.8         -15.051         5428.47         
5460.81         -5.21459        5.83939e+06     1.06277e+06     3.4616e+06      
6               0.652189        14.7137         35.4            7000.26         
203.691         89.892          -0.43496        2.42374         1219.85         
-0.258023       0.383776        203.685         1.5463          5.02781e+06     
1.32265e+06     3.69465e+06     1676.41         0.0294187       15.4007         
35.3004         100.004         9.99972         45.002          0.00389692      
42.7774         42.7802         -0.00381291     7.07062         7.07112         
-0.000680121    5.01235e+06     1.38305e+06     3.68162e+06     26.1345         
10.3183         30.2742         500018          7699.92         45.1856         
0.0421564       32887.1         32993.6         -17.7709        5427            
5462.27         -5.66535        5.83752e+06     1.06543e+06     3.46394e+06     
6.5             0.653014        14.7148         35.4            6999.67         
203.942         89.8946         -0.209973       2.61343         1321.76         
0.330709        0.374993        203.94          0.747388        5.02774e+06     
1.32294e+06     3.69465e+06     1676.41         0.0294187       15.4007         
35.3004         100.004         9.99972         45.002          0.00394187      
46.3127         46.3157         -0.00415493     7.07062         7.07112         
-0.000687967    5.01229e+06     1.38324e+06     3.68162e+06     26.1345         
10.3447         30.2969         500021          7699.91         45.2011         
0.0455106       35600.2         35725.1         -20.7163        5425.52         
5463.73         -6.11611        5.83565e+06     1.06808e+06     3.46629e+06     
7               0.653671        14.7159         35.4            6999.54         
204.146         89.8973         0.0560068       2.79869         1423.78         
0.464796        0.366011        204.145         -0.199553       5.02766e+06     
1.32322e+06     3.69465e+06     1676.4          0.0294187       15.4008         
35.3004         100.005         9.99972         45.0021         0.00398683      
49.848          49.8513         -0.00450088     7.07061         7.07112         
-0.000695813    5.01224e+06     1.38343e+06     3.68162e+06     26.1344         
10.3711         30.3195         500024          7699.9          45.2165         
0.0488647       38312.6         38457.3         -23.887         5424.03         
5465.18         -6.56686        5.83377e+06     1.07074e+06     3.46863e+06     
7.5             0.654382        14.717          35.4            6999.83         
204.372         89.9            0.25327         2.97938         1525.9          
0.172882        0.356683        204.369         -0.903403       5.02759e+06     
1.3235e+06      3.69465e+06     1676.4          0.0294187       15.4008         
35.3005         100.005         9.99972         45.0021         0.00403178      
53.3833         53.3868         -0.00485075     7.07061         7.07113         
