1 input_1.asc: UAV Cruise and satellite targeting ' UAV ' Nov  2 2023 17:15:34
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
0               0               0               0               0               
0               0               0               
6.2             0.448467        -0.0193712      -11.305         12239.2         
0.652554        14.7141         35.4            6999.97         203.801         
89.8931         -0.357913       2.50014         1260.59         0.0251751       
0.380245        203.797         1.27309         6               133.677         
1676.41         9.13018         90              0               1.13883         
0               7.29527         -0.0978299      -0.0945377      -0.0978299      
0.0654776       2.72534         0.127326        1.1307          -0.000940358    
-0.00197702     -1.27309        7000            16849.4         0               
0               0               0               0               0               
0               0               0               
6.4             0.40267         -0.0195107      -11.5656        12251.5         
0.65287         14.7146         35.4            6999.75         203.898         
89.8941         -0.262253       2.57584         1301.36         0.246629        
0.376748        203.895         0.933272        6               133.677         
1676.41         9.00583         90              0               1.16516         
0               7.45905         -0.0962513      -0.0926353      -0.0962513      
0.0570379       2.7237          0.130185        1.1028          -0.000942722    
-0.00199125     -0.933272       7000            16808.7         0               
0               0               0               0               0               
0               0               0               
6.6             0.382237        -0.0193909      -11.6805        12262.3         
0.653152        14.715          35.4            6999.6          203.984         
89.8952         -0.156092       2.65084         1342.15         0.39589         
0.373227        203.983         0.555717        6               133.678         
1676.41         8.9521          90              0               1.17679         
0               7.51236         -0.0947878      -0.0919834      -0.0947878      
0.0480933       2.72225         0.131115        1.06884         -0.000945421    
-0.00197903     -0.555717       7000            16767.9         0               
0               0               0               0               0               
0               0               0               
6.8             0.387181        -0.019127       -11.6553        12272.3         
0.653413        14.7155         35.4            6999.53         204.065         
89.8962         -0.0475037      2.72513         1382.96         0.468303        
0.369651        204.065         0.16919         6               133.678         
1676.4          8.96678         90              0               1.17426         
0               7.46109         -0.0938625      -0.0926404      -0.0938625      
0.0392706       2.72095         0.130221        1.03161         -0.000950123    
-0.0019521      -0.16919        7000            16727.2         0               
0               0               0               0               0               
0               0               0               
7               0.414726        -0.0188121      -11.504         12282           
